Substrate,type
"InChI=1S/C7H7Cl/c1-6-3-2-4-7(8)5-6/h2-5H,1H3",ED aromatic
"InChI=1S/C7H7Br/c1-6-3-2-4-7(8)5-6/h2-5H,1H3",ED aromatic
"InChI=1S/C7H7Br/c1-6-3-2-4-7(8)5-6/h2-5H,1H3",ED aromatic
"InChI=1S/C7H7Br/c1-6-3-2-4-7(8)5-6/h2-5H,1H3",ED aromatic
"InChI=1S/C7H7Br/c1-6-3-2-4-7(8)5-6/h2-5H,1H3",ED aromatic
"InChI=1S/C7H7Br/c1-6-3-2-4-7(8)5-6/h2-5H,1H3",ED aromatic
"InChI=1S/C7H4ClF3/c8-6-3-1-2-5(4-6)7(9,10)11/h1-4H",ED aromatic
"InChI=1S/C7H4ClF3/c8-6-3-1-2-5(4-6)7(9,10)11/h1-4H",ED aromatic
"InChI=1S/C7H4ClF3/c8-6-3-1-2-5(4-6)7(9,10)11/h1-4H",ED aromatic
"InChI=1S/C7H4ClF3/c8-6-3-1-2-5(4-6)7(9,10)11/h1-4H",ED aromatic
"InChI=1S/C8H10ClN/c1-10(2)8-5-3-4-7(9)6-8/h3-6H,1-2H3",ED aromatic
"InChI=1S/C8H10ClN/c1-10(2)8-5-3-4-7(9)6-8/h3-6H,1-2H3",ED aromatic
"InChI=1S/C8H10ClN/c1-10(2)8-5-3-4-7(9)6-8/h3-6H,1-2H3",ED aromatic
"InChI=1S/C8H10ClN/c1-10(2)8-5-3-4-7(9)6-8/h3-6H,1-2H3",ED aromatic
"InChI=1S/C8H10ClN/c1-10(2)8-5-3-4-7(9)6-8/h3-6H,1-2H3",ED aromatic
"InChI=1S/C11H22O2/c1-5-6-7-11(4)12-8-10(2,3)9-13-11/h5-9H2,1-4H3",aliphatic- oxygen
"InChI=1S/C11H22O2/c1-5-6-7-11(4)12-8-10(2,3)9-13-11/h5-9H2,1-4H3",aliphatic- oxygen
"InChI=1S/C11H22O2/c1-5-6-7-11(4)12-8-10(2,3)9-13-11/h5-9H2,1-4H3",aliphatic- oxygen
"InChI=1S/C11H22O2/c1-5-6-7-11(4)12-8-10(2,3)9-13-11/h5-9H2,1-4H3",aliphatic- oxygen
"InChI=1S/C11H22O2/c1-5-6-7-11(4)12-8-10(2,3)9-13-11/h5-9H2,1-4H3",aliphatic- oxygen
"InChI=1S/C11H22O2/c1-5-6-7-11(4)12-8-10(2,3)9-13-11/h5-9H2,1-4H3",aliphatic- oxygen
"InChI=1S/C11H22O2/c1-5-6-7-11(4)12-8-10(2,3)9-13-11/h5-9H2,1-4H3",aliphatic- oxygen
"InChI=1S/C13H27NO2/c1-6-8-10-14(11-9-7-2)12(15)16-13(3,4)5/h6-11H2,1-5H3",aliphatic- nitrogen
"InChI=1S/C13H27NO2/c1-6-8-10-14(11-9-7-2)12(15)16-13(3,4)5/h6-11H2,1-5H3",aliphatic- nitrogen
"InChI=1S/C13H27NO2/c1-6-8-10-14(11-9-7-2)12(15)16-13(3,4)5/h6-11H2,1-5H3",aliphatic- nitrogen
"InChI=1S/C13H27NO2/c1-6-8-10-14(11-9-7-2)12(15)16-13(3,4)5/h6-11H2,1-5H3",aliphatic- nitrogen
"InChI=1S/C13H27NO2/c1-6-8-10-14(11-9-7-2)12(15)16-13(3,4)5/h6-11H2,1-5H3",aliphatic- nitrogen
"InChI=1S/C10H21N/c1-2-3-5-8-11-9-6-4-7-10-11/h2-10H2,1H3",aliphatic- nitrogen
"InChI=1S/C10H21N/c1-2-3-5-8-11-9-6-4-7-10-11/h2-10H2,1H3",aliphatic- nitrogen
"InChI=1S/C10H21N/c1-2-3-5-8-11-9-6-4-7-10-11/h2-10H2,1H3",aliphatic- nitrogen
"InChI=1S/C10H21N/c1-2-3-5-8-11-9-6-4-7-10-11/h2-10H2,1H3",aliphatic- nitrogen
"InChI=1S/C10H21N/c1-2-3-5-8-11-9-6-4-7-10-11/h2-10H2,1H3",aliphatic- nitrogen
